dist,data
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
