Month,trip,Original trial,trial,Deterrent,Filename,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Shark ID,Bait taken?,Comment,LOI,AT,Reaction
November,1,2,1,Boat01,Left_2b_20191111.MP4,13437,7.4725,2436.17,47.442,48.714,5314.795,22.097,87.487,17.485,-1995.825,117.814,-4924.414,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,,M,D,N
November,1,2,1,Boat01,Left_2b_20191111.MP4,14299,7.9518,0,26.208,1.695,4138.702,20.615,82.431,11.963,-1304.361,649.59,-3873.698,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,Tia,N,,H,S,N
November,1,2,1,Boat01,Left_2b_20191111.MP4,15503,8.6214,2268.282,24.013,45.881,3899.977,12.669,61.953,26.615,-832.411,-196.665,-3805.027,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,,M,D,N
November,1,2,1,Boat01,Left_2b_20191111.MP4,16085,8.945,2531.776,10.892,64.163,4320.247,13.982,9.044,14.425,-1015.764,240.601,-4192.239,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,,M,D,N
November,1,2,1,Boat01,Left_2b_20191111.MP4,17825,9.9127,1786.355,39.042,125.896,5628.84,15.294,49.269,25.346,1451.168,-314.121,-5429.483,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,,M,D,N
November,1,3,2,Boat01,Left_2b_20191111_2.MP4,5512,20.783,1530.366,37.75,110.105,5142.528,8.676,51.805,4.64,466.843,-619.535,-5083.683,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,,M,D,N
November,1,3,2,Boat01,Left_2b_20191111_2.MP4,6768,21.4815,2999.568,33.478,177.51,6046.522,23.077,27.301,18.251,2369.504,50.175,-5562.676,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,Reaction - Head Spasm,M,D,Y
November,1,3,2,Boat01,Left_2b_20191111_2.MP4,7673,21.9847,1102.242,27.546,110.158,4843.681,15.41,63.702,40.977,1286.584,35.774,-4669.547,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,Reaction - Head Spasm,M,D,Y
November,1,3,2,Boat01,Left_2b_20191111_2.MP4,18753,28.1465,3129.603,31.556,192.52,5421.918,21.004,33.961,17.1,1942.028,71.992,-5061.673,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,,M,D,N
November,1,3,2,Boat01,Left_2b_20191111_2.MP4,20386,29.0546,1798.917,32.907,66.293,5073.561,5.003,48.983,24.202,-370.08,-242.562,-5054.228,20210706,BHTH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Tia,N,,M,D,N
