Date,Unique trial code,Original trial,trip,trial,det,Left camera,Right camera,Camera,Card Left,Card Right,Time start,Time app,App#,Pass#,ID,dist,reaction,App Direction,Time bait,Comments,Discard?
13/2/20,1f,1,2,1,Control,?,?,?,39,40,9:43,,1,1,Elfie,2,N,,,Touched float,
13/2/20,2f,2,2,2,Control,?,?,?,39,40,,,2,1,Elfie,0.5,Y,,,Reaction,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,3,1,Elfie,20,N,,,,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,3,2,Elfie,20,N,,,,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,4,1,Elfie,15,N,D,,,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,5,1,Elfie,1.5,Y,,,Reaction,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,5,2,Elfie,1.5,Y,,,Reaction,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,1,1,Old tag,3,N,,,Old tag different shark to April trip (presumably). Pec touch black.,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,6,1,Old tag,0.5,N,,,,
13/2/20,,2,2,2,Control,?,?,?,39,40,,,6,2,Old tag,0,N,,10:00,Bait taken,
13/2/20,3f,3b,2,3,Boat01,?,?,?,39,40,3:29,,1,1,Tommy,30,N,,,,
13/2/20,,3b,2,3,Boat01,?,?,?,39,40,,,2,1,Tommy,18,N,,,,
13/2/20,,3b,2,3,Boat01,?,?,?,39,40,,,3,1,Tommy,5,N,,,,
13/2/20,,3b,2,3,Boat01,?,?,?,39,40,,,3,2,Tommy,5,N,,,,
13/2/20,,3b,2,3,Boat01,?,?,?,39,40,,,3,3,Tommy,5,N,,,,
13/2/20,,3b,2,3,Boat01,?,?,?,39,40,,,4,1,Tommy,5,N,,,,
13/2/20,,3b,2,3,Boat01,?,?,?,39,40,,,4,2,Tommy,2,N,D,,,
25/3/20,1m,1,3,4,Boat01,?,?,?,44,43,,,1,1,Small,10,N,,,Different shark. Small.,
25/3/20,,1,3,4,Boat01,?,?,?,44,43,2:30,,1,1,White Spot,1,Y,,,Shark with white spot nose and mark on head. Female. Reaction?,
25/3/20,,1,3,4,Boat01,?,?,?,44,43,,,2,1,White Spot,3,N,,,,
25/3/20,,1,3,4,Boat01,?,?,?,44,43,,,2,2,White Spot,4,N,,,,
25/3/20,,1,3,4,Boat01,?,?,?,44,43,,,3,1,White Spot,10,N,,,,
25/3/20,,1,3,4,Boat01,?,?,?,44,43,,,4,1,White Spot,4,N,,,,
25/3/20,,1,3,4,Boat01,?,?,?,44,43,,,4,2,White Spot,10,N,,,,
25/3/20,,1,3,4,Boat01,?,?,?,44,43,,,4,3,White Spot,4,N,,,,
25/3/20,2m,2,3,5,Control,?,?,?,44,43,3:20,,1,1,White Spot,10,N,D,,,
25/3/20,,2,3,5,Control,?,?,?,44,43,,,2,1,White Spot,15,N,,,,
25/3/20,3m,3,3,6,Control,?,?,?,44,43,,,1,1,Small,8,N,,,,
25/3/20,,3,3,6,Control,?,?,?,44,43,,,2,1,Small,12,N,,,,
25/3/20,,3,3,6,Control,?,?,?,44,43,,,2,2,Small,5,N,,,,
25/3/20,,3,3,6,Control,?,?,?,44,43,,,2,3,Small,3,N,,,,
25/3/20,,3,3,6,Control,?,?,?,44,43,,,3,1,Small,4,N,,,,
25/3/20,,3,3,6,Control,?,?,?,44,43,3:45,,1,1,White Spot,20,N,,,,
25/3/20,,3,3,6,Control,?,?,?,44,43,,,2,1,White Spot,0,N,,,Touch,
25/3/20,3m,4,3,7,Boat01,?,?,?,44,43,4:20,,1,1,Flat Top,15,N,,,Flat Dorsal Fin,
25/3/20,,4,3,7,Boat01,?,?,?,44,43,,,1,2,Flat Top,10,N,,,,
25/3/20,5m,5,3,8,Boat01,?,?,?,44,43,4:52,,1,1,Flat Top,3,N,,,Fast approach,
26/3/20,6m,6,3,9,Control,?,?,?,44,43,11:39,,1,1,Shark 4,10,N,,,,
26/3/20,,6,3,9,Control,?,?,?,44,43,,,1,2,Shark 4,15,N,,,,
26/3/20,,6,3,9,Control,?,?,?,44,43,,,2,1,Shark 4,5,N,,,,
26/3/20,,6,3,9,Control,?,?,?,44,43,,,1,1,White Spot,40,N,,,Possible a different shark?,
26/3/20,,6,3,9,Control,?,?,?,44,43,,,2,1,White Spot,25,N,,,,
26/3/20,,6,3,9,Control,?,?,?,44,43,,,2,2,White Spot,2,Y,,,Reaction,
26/3/20,7m,7,3,10,Control,?,?,?,44,43,,,1,1,Flat Top,5,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,12:00,,1,1,Shark 4,10,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,2,1,Shark 4,2,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,2,2,Shark 4,5,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,2,3,Shark 4,15,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,3,1,Shark 4,5,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,3,2,Shark 4,10,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,3,3,Shark 4,5,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,3,4,Shark 4,5,N,,,Hanging around the back,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,3,5,Shark 4,6,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,3,6,Shark 4,10,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,3,7,Shark 4,10,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,4,1,Shark 4,15,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,1,1,Small,10,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,1,2,Small,20,N,,,,
26/3/20,,7,3,10,Control,?,?,?,44,43,,,2,1,Small,10,N,,,,
26/3/20,8m,8,3,11,Boat01,?,?,?,44,43,,,1,1,Flat Top,15,N,D,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,1,1,Shark 4,6,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,1,2,Shark 4,10,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,1,1,Small,20,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,2,1,Small,2,Y,,,Reaction. Touch float.,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,3,1,Small,2,N,,,Touch rope,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,1,Small,15,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,2,Small,5,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,3,Small,3,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,4,Small,5,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,5,Small,5,Y,,,Reaction,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,6,Small,2,N,,,Touch rope,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,7,Small,6,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,8,Small,6,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,9,Small,5,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,10,Small,15,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,11,Small,20,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,5,1,Small,5,N,,,,
