Month,trip,Original trial,trial,Deterrent,Time (mins),dist,Precision (mm),RMS (mm),Number,Activity,ID,Bait taken?,Comment,LOI,AT,react
November,1,2,1,Boat01,7.4725,2436.17,47.442,48.714,Bait,Passing,Tia,N,,M,D,N
November,1,2,1,Boat01,7.9518,0,26.208,1.695,Bait,Feeding,Tia,N,,H,S,N
November,1,2,1,Boat01,8.6214,2268.282,24.013,45.881,Bait,Passing,Tia,N,,M,D,N
November,1,2,1,Boat01,8.945,2531.776,10.892,64.163,Bait,Passing,Tia,N,,M,D,N
November,1,2,1,Boat01,9.9127,1786.355,39.042,125.896,Bait,Passing,Tia,N,,M,D,N
November,1,3,2,Boat01,20.783,1530.366,37.75,110.105,Bait,Passing,Tia,N,,M,D,N
November,1,3,2,Boat01,21.4815,2999.568,33.478,177.51,Bait,Passing,Tia,N,Reaction - Head Spasm,M,D,Y
November,1,3,2,Boat01,21.9847,1102.242,27.546,110.158,Bait,Passing,Tia,N,Reaction - Head Spasm,M,D,Y
November,1,3,2,Boat01,28.1465,3129.603,31.556,192.52,Bait,Passing,Tia,N,,M,D,N
November,1,3,2,Boat01,29.0546,1798.917,32.907,66.293,Bait,Passing,Tia,N,,M,D,N
November,1,4,3,Boat01,8.7649,4501.788,86.611,121.793,Bait,Passing,Tia,N,Taken from Dorsal,M,D,N
November,1,4,3,Boat01,9.0557,6301.613,114.069,126.494,Bait,Passing,Tia,N,,M,S,N
November,1,4,3,Boat01,12.9112,1018.616,27.759,100.754,Bait,Passing,Tia,N,,M,S,N
February,2,1,4,Control,12.3896,0,17.123,82.476,Bait,Feeding,Elfie,Y,Measurement taken from Pectrol,H,D,N
February,2,2,5,Control,12.3896,0,17.123,82.476,Bait,Feeding,Elfie,Y,Measurement taken from Pectrol,H,D,N
March,3,1,6,Boat01,5.6114,2514.091,10000.022,6.352,Bait,Passing,White Spot,N,Measurement from Pectoral Fin,M,D,N
March,3,1,6,Boat01,8.0066,1084.591,14.561,134.96,Bait,Passing,Unknown,N,,M,D,N
March,3,1,6,Boat01,8.2157,2056.706,35.882,184.179,Bait,Passing,Unknown,N,,M,D,N
March,3,1,6,Boat01,8.3864,1267.903,20.553,67.548,Bait,Passing,Unknown,N,,M,S,N
March,3,3,7,Control,3.5647,6268.73,74.819,362.825,Bait,Passing,Small,Y,,M,D,N
March,3,3,7,Control,12.0662,9074.439,153.795,113.766,Bait,Passing,Unknown,Y,,M,S,N
March,3,3,7,Control,12.4494,696.532,15.13,98.695,Bait,Passing,Small,Y,,M,S,N
March,3,3,7,Control,12.6777,840.208,16.29,66.768,Bait,Passing,Small,Y,,M,D,N
March,3,3,7,Control,13.9823,1014.363,7.149,34.947,Bait,Passing,Small,Y,,M,S,N
March,3,3,7,Control,14.6079,0,2.473,54.22,Bait,Feeding,White Spot,Y,,H,D,N
March,3,6,8,Control,7.4828,1444.434,20.472,110.543,Bait,Passing,Shark 4,N,,M,S,N
March,3,6,8,Control,14.812,15445.731,418.151,100.609,Bait,Passing,Unknown,N,,L,S,N
March,3,6,8,Control,15.2736,4871.014,8619.143,67.42,Bait,Passing,White Spot,N,Reaction?,M,S,N
March,3,6,8,Control,17.4205,3028.446,21.558,98.523,Bait,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,8.0514,8135.283,89.75,379.85,Bait,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,9.2111,1530.639,32.275,212.949,Bait,Passing,Shark 4,N,,M,S,N
March,3,7,9,Control,11.3124,3024.057,8270.682,8.624,Bait,Passing,Shark 4,N,,M,S,N
March,3,7,9,Control,11.71,2768.801,34.589,172.428,Bait,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,12.3651,6690.168,8645.322,146.673,Bait,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,14.1108,3575.843,45.886,204.034,Bait,Passing,Shark 4,N,,M,S,N
March,3,7,9,Control,14.5192,6487.444,8657.988,34.578,Bait,Passing,Shark 4,N,,M,S,N
March,3,8,10,Boat01,23.6027,660.271,5.511,166.409,Bait,Passing,Small,N,,M,S,N
March,3,8,10,Boat01,31.4778,0,16.245,54.135,Bait,Feeding,Shark 4,N,,H,D,N
March,3,8,10,Boat01,32.1474,1961.653,7986.301,83.337,Bait,Passing,Shark 4,N,,M,D,N
March,3,8,10,Boat01,32.4558,10997.838,214.248,134.576,Bait,Passing,Shark 4,N,,M,D,N
March,3,8,10,Boat01,32.5903,3651.251,79.274,287.637,Bait,Passing,Shark 4,N,Measurment from Pectoral fin,M,D,N
March,3,8,10,Boat01,32.82,1062.717,4.693,106.081,Bait,Passing,Shark 4,N,,M,D,N
March,3,8,10,Boat01,34.2856,3858.97,38.041,240.588,Bait,Passing,Shark 4,N,Measurement from Pectrol Fin,M,S,N
March,3,8,10,Boat01,35.7677,2892.353,27.932,106.85,Bait,Passing,Shark 4,N,,M,S,N
March,3,8,10,Boat01,36.2042,11589.45,10000,47.065,Bait,Passing,Shark 4,N,,M,S,N
March,3,8,10,Boat01,36.3705,889.45,3.858,73.907,Bait,Passing,Small,N,,M,D,N
March,3,8,10,Boat01,38.1064,2744.948,50.601,178.751,Bait,Passing,Unknown,N,,M,D,N
March,3,9,11,Control,45.4777,4964.225,118.788,94.64,Bait,Passing,Unknown,N,measurement not accurate,M,D,N
March,3,9,11,Control,50.4779,1585.248,22.943,81.463,Bait,Passing,Shark 4,N,,M,D,N
March,3,9,11,Control,50.6956,998.928,11.804,59.294,Bait,Passing,Shark 4,N,,M,D,N
March,3,10,12,Boat01,2.7441,1391.826,5.829,112.77,Bait,Passing,Itchy,N,Measurement from Tail,M,S,N
March,3,10,12,Boat01,3.4056,1944.315,47.893,289.119,Bait,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,5.0086,3235.775,22.191,135.195,Bait,Passing,Itchy,N,,M,S,N
March,3,10,12,Boat01,5.1162,704.073,54.927,130.813,Bait,Passing,Itchy,N,,M,S,N
March,3,10,12,Boat01,5.567,7876.815,148.128,100.164,Bait,Passing,Itchy,N,Measurement from Dorsal,M,D,N
March,3,10,12,Boat01,5.704,983.882,7.424,142.468,Bait,Passing,Scratchy,N,,M,D,N
March,3,10,12,Boat01,5.8856,1322.966,22.363,233.906,Bait,Passing,Scratchy,N,Taken from Dorsal,M,S,N
March,3,10,12,Boat01,5.8887,2196.967,35.364,127.727,Bait,Passing,Itchy,N,,M,S,N
March,3,10,12,Boat01,6.2073,0,7.72,108.461,Bait,Feeding,Itchy,N,,H,S,N
March,3,10,12,Boat01,6.271,4762.476,60.168,419.765,Bait,Passing,Bully,N,,H,D,N
March,3,10,12,Boat01,6.7334,927.752,15.989,107.057,Bait,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,7.0826,2474.706,40.945,109.895,Bait,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,8.9901,8822.096,10000.232,102.345,Bait,Passing,Bully,N,,L,D,N
March,3,10,12,Boat01,9.3126,5601.891,8905.189,31.678,Bait,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,9.9661,1832.701,33.977,153.596,Bait,Passing,Bully,N,,M,D,N
March,3,10,12,Boat01,10.2541,6067.236,80.572,279.369,Bait,Passing,Itchy,N,,L,S,N
March,3,10,12,Boat01,10.5002,579.209,30.977,58.975,Bait,Passing,Bully,N,,M,D,N
March,3,10,12,Boat01,10.657,489.976,5.739,126.461,Bait,Passing,Bully,N,,M,D,N
March,3,11,13,Control,4.9119,7683.915,123.733,96.421,Bait,Passing,Itchy,Y,,M,S,N
