trip,trial,det,ID,dist,reaction
2,1,Control,Elfie,2,N
2,2,Control,Elfie,0.5,Y
2,2,Control,Elfie,20,N
2,2,Control,Elfie,20,N
2,2,Control,Elfie,15,N
2,2,Control,Elfie,1.5,Y
2,2,Control,Elfie,1.5,Y
2,2,Control,Old tag,3,N
2,2,Control,Old tag,0.5,N
2,2,Control,Old tag,0,N
2,3,Boat01,Tommy,30,N
2,3,Boat01,Tommy,18,N
2,3,Boat01,Tommy,5,N
2,3,Boat01,Tommy,5,N
2,3,Boat01,Tommy,5,N
2,3,Boat01,Tommy,5,N
2,3,Boat01,Tommy,2,N
3,4,Boat01,Small,10,N
3,4,Boat01,White Spot,1,Y
3,4,Boat01,White Spot,3,N
3,4,Boat01,White Spot,4,N
3,4,Boat01,White Spot,10,N
3,4,Boat01,White Spot,4,N
3,4,Boat01,White Spot,10,N
3,4,Boat01,White Spot,4,N
3,5,Control,White Spot,10,N
3,5,Control,White Spot,15,N
3,6,Control,Small,8,N
3,6,Control,Small,12,N
3,6,Control,Small,5,N
3,6,Control,Small,3,N
3,6,Control,Small,4,N
3,6,Control,White Spot,20,N
3,6,Control,White Spot,0,N
3,7,Boat01,Flat Top,15,N
3,7,Boat01,Flat Top,10,N
3,8,Boat01,Flat Top,3,N
3,9,Control,Shark 4,10,N
3,9,Control,Shark 4,15,N
3,9,Control,Shark 4,5,N
3,9,Control,White Spot,40,N
3,9,Control,White Spot,25,N
3,9,Control,White Spot,2,Y
3,10,Control,Flat Top,5,N
3,10,Control,Shark 4,10,N
3,10,Control,Shark 4,2,N
3,10,Control,Shark 4,5,N
3,10,Control,Shark 4,15,N
3,10,Control,Shark 4,5,N
3,10,Control,Shark 4,10,N
3,10,Control,Shark 4,5,N
3,10,Control,Shark 4,5,N
3,10,Control,Shark 4,6,N
3,10,Control,Shark 4,10,N
3,10,Control,Shark 4,10,N
3,10,Control,Shark 4,15,N
3,10,Control,Small,10,N
3,10,Control,Small,20,N
3,10,Control,Small,10,N
3,11,Boat01,Flat Top,15,N
3,11,Boat01,Shark 4,6,N
3,11,Boat01,Shark 4,10,N
3,11,Boat01,Small,20,N
3,11,Boat01,Small,2,Y
3,11,Boat01,Small,2,N
3,11,Boat01,Small,15,N
3,11,Boat01,Small,5,N
3,11,Boat01,Small,3,N
3,11,Boat01,Small,5,N
3,11,Boat01,Small,5,Y
3,11,Boat01,Small,2,N
3,11,Boat01,Small,6,N
3,11,Boat01,Small,6,N
3,11,Boat01,Small,5,N
3,11,Boat01,Small,15,N
3,11,Boat01,Small,20,N
3,11,Boat01,Small,5,N
3,11,Boat01,Small,25,N
3,11,Boat01,Small,10,N
3,12,Control,Flat Top,5,N
3,12,Control,Scratchy,12,N
3,12,Control,Scratchy,3,N
3,12,Control,Shark 4,15,N
3,12,Control,Shark 4,15,N
3,12,Control,Shark 4,25,N
3,12,Control,Shark 4,3,N
3,12,Control,Shark 4,4,N
3,12,Control,Shark 4,10,N
3,12,Control,Small,4,N
3,12,Control,Small,2,N
3,12,Control,Small,7,N
3,12,Control,Small,15,N
3,13,Boat01,Itchy,4,N
3,13,Boat01,Itchy,6,N
3,13,Boat01,Itchy,20,N
3,13,Boat01,Itchy,3,N
3,13,Boat01,Itchy,7,N
3,13,Boat01,Itchy,2,N
3,13,Boat01,Itchy,3,N
3,13,Boat01,Itchy,1,N
3,13,Boat01,Itchy,3,N
3,13,Boat01,Itchy,8,N
3,13,Boat01,Itchy,6,N
3,13,Boat01,Itchy,6,N
3,13,Boat01,Itchy,7,N
3,13,Boat01,Itchy,17,N
3,13,Boat01,Itchy,3,N
3,13,Boat01,Itchy,15,N
3,13,Boat01,New ,4,N
3,13,Boat01,New ,25,N
3,13,Boat01,New ,18,N
3,13,Boat01,New ,15,N
3,13,Boat01,New ,9,N
3,13,Boat01,New ,5,N
3,13,Boat01,New ,5,N
3,13,Boat01,New ,8,N
3,13,Boat01,New ,4,N
3,13,Boat01,New ,1,Y
3,13,Boat01,Scratchy,3,N
3,13,Boat01,Scratchy,9,N
3,13,Boat01,Scratchy,15,N
3,14,Control,Itchy,10,N
3,14,Control,Itchy,1,N
3,14,Control,Itchy,3,N
3,14,Control,Itchy,3,N
3,14,Control,Itchy,5,N
3,14,Control,Itchy,6,N
3,14,Control,Itchy,8,N
3,14,Control,Itchy,3,N
3,14,Control,Itchy,5,N
3,14,Control,Itchy,10,N
3,14,Control,Itchy,1,Y
3,14,Control,Itchy,3,N
3,14,Control,Itchy,7,N
3,14,Control,Itchy,1.5,N
3,14,Control,Itchy,2.5,N
3,14,Control,Itchy,15,N
3,14,Control,Itchy,4,N
3,14,Control,Itchy,5,N
3,14,Control,Itchy,2,N
3,14,Control,Itchy,1,N
3,14,Control,Itchy,7,N
3,14,Control,Unknown,1,N
3,14,Control,Unknown,1,N
3,14,Control,Unknown,1,N
3,14,Control,Unknown,6,N
3,15,Boat01,Itchy,12,N
3,15,Boat01,Itchy,1.5,N
3,15,Boat01,Itchy,2.5,Y
3,15,Boat01,Itchy,2.5,N
3,15,Boat01,Itchy,1,N
3,15,Boat01,Itchy,10,N
3,15,Boat01,Itchy,4,N
3,15,Boat01,Itchy,4.5,N
3,15,Boat01,Itchy,3,N
3,15,Boat01,Itchy,2,N
3,15,Boat01,Itchy,3.5,N
3,15,Boat01,Itchy,1.5,N
3,15,Boat01,Itchy,9,N
3,15,Boat01,Itchy,2.5,N
3,15,Boat01,Itchy,1.5,N
3,15,Boat01,Itchy,6,N
3,15,Boat01,Itchy,2,N
3,15,Boat01,Unknown,5,N
3,16,Control,Itchy,1,N
3,16,Control,Itchy,0.5,N
3,16,Control,Itchy,3,N
3,16,Control,Itchy,2,N
3,16,Control,Itchy,3,N
3,16,Control,Itchy,1.5,N
3,16,Control,Itchy,2,N
3,16,Control,Itchy,1.5,N
3,16,Control,Itchy,2.5,N
3,16,Control,Itchy,1.5,N
3,16,Control,Itchy,3,N
3,16,Control,Itchy,,N
3,16,Control,Itchy,3,N
3,16,Control,Itchy,1,N
3,16,Control,Itchy,1.5,N
3,16,Control,Itchy,2.5,N
3,16,Control,Itchy,10,N
3,16,Control,Itchy,4,N
3,16,Control,Itchy,3,N
3,16,Control,Itchy,5,N
3,16,Control,Itchy,0.5,N
3,16,Control,Itchy,0.5,N
3,16,Control,Unknown,5,N
3,16,Control,Unknown,10,N
3,16,Control,Unknown,0.5,N
3,16,Control,Unknown,1.5,N
3,16,Control,Unknown,2,N
