trip,trial,det,time,ID,activity,dist,app_type,intent,reaction
1,1,Boat01 80-V,7.4725,Tia,Passing,2436.17,D,M,N
1,1,Boat01 80-V,7.9518,Tia,Feeding,0,S,H,N
1,1,Boat01 80-V,8.6214,Tia,Passing,2268.282,D,M,N
1,1,Boat01 80-V,8.945,Tia,Passing,2531.776,D,M,N
1,1,Boat01 80-V,9.9127,Tia,Passing,1786.355,D,M,N
1,2,Boat01 80-V,20.783,Tia,Passing,1530.366,D,M,N
1,2,Boat01 80-V,21.4815,Tia,Passing,2999.568,D,M,Y
1,2,Boat01 80-V,21.9847,Tia,Passing,1102.242,D,M,Y
1,2,Boat01 80-V,28.1465,Tia,Passing,3129.603,D,M,N
1,2,Boat01 80-V,29.0546,Tia,Passing,1798.917,D,M,N
1,3,Boat01 80-V,8.7649,Tia,Passing,4501.788,D,M,N
1,3,Boat01 80-V,9.0557,Tia,Passing,6301.613,S,M,N
1,3,Boat01 80-V,12.9112,Tia,Passing,1018.616,S,M,N
2,4,Control,12.3896,Elfie,Feeding,0,D,H,N
2,5,Control,12.3896,Elfie,Feeding,0,D,H,N
3,6,Boat01 80-V,5.6114,White Spot,Passing,2514.091,D,M,N
3,6,Boat01 80-V,8.0066,Unknown,Passing,1084.591,D,M,N
3,6,Boat01 80-V,8.2157,Unknown,Passing,2056.706,D,M,N
3,6,Boat01 80-V,8.3864,Unknown,Passing,1267.903,S,M,N
3,7,Control,3.5647,Small,Passing,6268.73,D,M,N
3,7,Control,12.0662,Unknown,Passing,9074.439,S,M,N
3,7,Control,12.4494,Small,Passing,696.532,S,M,N
3,7,Control,12.6777,Small,Passing,840.208,D,M,N
3,7,Control,13.9823,Small,Passing,1014.363,S,M,N
3,7,Control,14.6079,White Spot,Feeding,0,D,H,N
3,8,Control,7.4828,Shark 4,Passing,1444.434,S,M,N
3,8,Control,14.812,Unknown,Passing,15445.731,S,L,N
3,8,Control,15.2736,White Spot,Passing,4871.014,S,M,N
3,8,Control,17.4205,Shark 4,Passing,3028.446,D,M,N
3,9,Control,8.0514,Shark 4,Passing,8135.283,D,M,N
3,9,Control,9.2111,Shark 4,Passing,1530.639,S,M,N
3,9,Control,11.3124,Shark 4,Passing,3024.057,S,M,N
3,9,Control,11.71,Shark 4,Passing,2768.801,D,M,N
3,9,Control,12.3651,Shark 4,Passing,6690.168,D,M,N
3,9,Control,14.1108,Shark 4,Passing,3575.843,S,M,N
3,9,Control,14.5192,Shark 4,Passing,6487.444,S,M,N
3,10,Boat01 80-V,23.6027,Small,Passing,660.271,S,M,N
3,10,Boat01 80-V,31.4778,Shark 4,Feeding,0,D,H,N
3,10,Boat01 80-V,32.1474,Shark 4,Passing,1961.653,D,M,N
3,10,Boat01 80-V,32.4558,Shark 4,Passing,10997.838,D,M,N
3,10,Boat01 80-V,32.5903,Shark 4,Passing,3651.251,D,M,N
3,10,Boat01 80-V,32.82,Shark 4,Passing,1062.717,D,M,N
3,10,Boat01 80-V,34.2856,Shark 4,Passing,3858.97,S,M,N
3,10,Boat01 80-V,35.7677,Shark 4,Passing,2892.353,S,M,N
3,10,Boat01 80-V,36.2042,Shark 4,Passing,11589.45,S,M,N
3,10,Boat01 80-V,36.3705,Small,Passing,889.45,D,M,N
3,10,Boat01 80-V,38.1064,Unknown,Passing,2744.948,D,M,N
3,11,Control,45.4777,Unknown,Passing,4964.225,D,M,N
3,11,Control,50.4779,Shark 4,Passing,1585.248,D,M,N
3,11,Control,50.6956,Shark 4,Passing,998.928,D,M,N
3,12,Boat01 80-V,2.7441,Itchy,Passing,1391.826,S,M,N
3,12,Boat01 80-V,3.4056,Itchy,Passing,1944.315,D,M,N
3,12,Boat01 80-V,5.0086,Itchy,Passing,3235.775,S,M,N
3,12,Boat01 80-V,5.1162,Itchy,Passing,704.073,S,M,N
3,12,Boat01 80-V,5.567,Itchy,Passing,7876.815,D,M,N
3,12,Boat01 80-V,5.704,Scratchy,Passing,983.882,D,M,N
3,12,Boat01 80-V,5.8856,Scratchy,Passing,1322.966,S,M,N
3,12,Boat01 80-V,5.8887,Itchy,Passing,2196.967,S,M,N
3,12,Boat01 80-V,6.2073,Itchy,Feeding,0,S,H,N
3,12,Boat01 80-V,6.271,Bully,Passing,4762.476,D,H,N
3,12,Boat01 80-V,6.7334,Itchy,Passing,927.752,D,M,N
3,12,Boat01 80-V,7.0826,Itchy,Passing,2474.706,D,M,N
3,12,Boat01 80-V,8.9901,Bully,Passing,8822.096,D,L,N
3,12,Boat01 80-V,9.3126,Itchy,Passing,5601.891,D,M,N
3,12,Boat01 80-V,9.9661,Bully,Passing,1832.701,D,M,N
3,12,Boat01 80-V,10.2541,Itchy,Passing,6067.236,S,L,N
3,12,Boat01 80-V,10.5002,Bully,Passing,579.209,D,M,N
3,12,Boat01 80-V,10.657,Bully,Passing,489.976,D,M,N
3,13,Control,4.9119,Itchy,Passing,7683.915,S,M,N
3,13,Control,4.9138,Unknown,Passing,6227.414,D,M,N
3,13,Control,5.1293,Unknown,Passing,800.89,D,H,N
3,13,Control,5.2675,Unknown,Feeding,0,D,H,N
3,13,Control,5.5455,Unknown,Passing,503.887,S,M,N
3,13,Control,5.768,Itchy,Passing,1057.658,S,M,N
3,13,Control,6.0071,Unknown,Feeding,0,D,H,N
3,14,Control,9.7881,Itchy,Passing,2121.934,S,M,N
3,14,Control,9.9385,Unknown,Passing,1037.524,D,M,N
3,14,Control,13.0241,Unknown,Passing,1258.096,D,M,N
3,14,Control,14.0896,Unknown,Passing,582.141,D,M,N
3,14,Control,14.1049,Itchy,Passing,1733.447,S,M,N
3,14,Control,15.2605,Unknown,Passing,6817.355,D,L,N
3,14,Control,15.8239,Unknown,Passing,654.48,S,M,N
3,14,Control,16.2968,Unknown,Passing,1044.82,S,M,N
3,14,Control,17.993,Unknown,Passing,2287.474,D,M,N
3,14,Control,20.5033,Unknown,Passing,2467.367,S,M,N
3,14,Control,21.6066,Unknown,Passing,2066.273,S,M,N
3,15,Boat01 80-V,6.0416,Itchy,Passing,2674.775,S,M,N
3,15,Boat01 80-V,6.516,Itchy,Passing,1420.399,S,M,N
3,15,Boat01 80-V,10.5144,Itchy,Feeding,0,S,H,N
3,15,Boat01 80-V,10.9999,Itchy,Passing,630.559,D,M,N
3,15,Boat01 80-V,11.4584,Itchy,Passing,3132.9,D,H,N
3,15,Boat01 80-V,11.8354,Itchy,Passing,2078.386,D,H,N
3,15,Boat01 80-V,11.9283,Itchy,Passing,326.079,D,H,N
3,15,Boat01 80-V,12.1135,Itchy,Passing,2101.013,V,H,N
3,15,Boat01 80-V,12.6549,Itchy,Passing,5231.616,D,M,N
3,15,Boat01 80-V,13.2555,Itchy,Passing,497.692,S,M,N
3,15,Boat01 80-V,13.4846,Scratchy,Passing,2299.21,D,M,N
3,15,Boat01 80-V,16.4912,Itchy,Passing,2826.465,D,M,N
